Kind,Name,CountClassCoupled,CountClassDerived,CountDeclInstanceVariable,CountDeclMethodAll,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic,CountDeclClassMethod,CountDeclFile,CountDeclFunction,CountLineCode,RatioCommentToCode
File,FuncN.java,,,0,,,,1,0,,1,4,4.75
File,Function.java,,,0,,,,0,0,,0,3,6.67
File,Functions.java,,,0,,,,43,14,,29,176,0.99
File,FunctionsTest.java,,,0,,,,29,0,,29,194,0.08
File,GenericScheduledExecutorService.java,,,1,,,,18,1,,4,73,0.47
File,GenericScheduledExecutorServiceFactory.java,,,0,,,,6,3,,3,23,1
File,GenericScheduledExecutorServiceTest.java,,,0,,,,4,0,,3,35,0.43
File,GenericScheduledExecutorServiceTest.java,,,0,,,,2,0,,2,31,0.55
File,GroupByTests.java,,,0,,,,11,0,,11,79,0.22
File,GroupedObservable.java,,,1,,,,5,2,,5,26,2.88
File,IOSchedulerPerf.java,,,1,,,,3,0,,3,36,0.42
File,ImmediateScheduler.java,,,1,,,,7,0,,7,39,0.51
File,ImmediateScheduler.java,,,0,,,,2,0,,2,12,1.67
File,ImmediateSchedulerTest.java,,,0,,,,10,0,,10,63,0.33
File,IndexedRingBuffer.java,,,10,,,,48,1,,20,228,1.21
File,IndexedRingBufferPerf.java,,,2,,,,6,0,,3,40,0.38
File,IndexedRingBufferTest.java,,,2,,,,39,0,,26,320,0.07
File,InputWithIncrementingInteger.java,,,6,,,,16,0,,15,80,0.23
File,InternalObservableUtils.java,,,19,,,,39,10,,37,218,0.51
File,IntervalDemo.java,,,0,,,,5,0,,5,39,0.41
File,IoSchedulerTest.java,,,0,,,,14,0,,10,114,0.2
File,JCToolsQueueTests.java,,,1,,,,106,1,,50,470,0.03
File,LatchedObserver.java,,,2,,,,4,0,,4,23,0.65
File,LinkedArrayList.java,,,5,,,,13,0,,9,68,0.97
File,LinkedArrayListTest.java,,,0,,,,2,0,,1,16,0.94
File,LinkedQueueNode.java,,,1,,,,7,0,,7,27,0.85
File,MergeTests.java,,,0,,,,6,0,,6,61,0.31
File,MessagePassingQueue.java,,,0,,,,5,0,,5,9,6.33
File,MissingBackpressureException.java,,,0,,,,2,0,,2,10,5.1
File,MpmcArrayQueue.java,,,47,,,,26,0,,14,136,0.65
File,MpscLinkedAtomicQueue.java,,,0,,,,11,0,,4,48,1.56
File,MpscLinkedQueue.java,,,0,,,,13,0,,5,58,1.34
File,MultiInput.java,,,1,,,,1,0,,1,14,1.07
File,MultipleAssignmentSubscription.java,,,1,,,,5,0,,4,23,1.35
File,MultipleAssignmentSubscriptionPerf.java,,,4,,,,10,0,,5,54,0.41
File,MultipleAssignmentSubscriptionTest.java,,,2,,,,6,0,,6,56,0.27
File,NeverObservableHolder.java,,,1,,,,4,1,,2,15,1.73
File,NewThreadScheduler.java,,,1,,,,2,0,,2,13,1.38
File,NewThreadScheduler.java,,,0,,,,2,0,,2,12,1.67
File,NewThreadSchedulerTest.java,,,0,,,,7,0,,6,57,0.26
File,NewThreadWorker.java,,,4,,,,37,5,,14,189,0.38
File,NewThreadWorkerTest.java,,,0,,,,5,0,,5,44,0.39
File,Notification.java,,,6,,,,28,4,,17,101,0.96
File,NotificationLite.java,,,1,,,,26,1,,17,101,1.25
File,NotificationLiteTest.java,,,0,,,,2,0,,2,29,0.52
File,NotificationTest.java,,,0,,,,21,1,,18,194,0.09
File,ObjectPool.java,,,5,,,,22,0,,9,92,0.57
File,Observable.java,,,2,,,,444,130,,400,1611,6.6
File,ObservableDoOnTest.java,,,0,,,,7,0,,6,54,0.28
File,ObservablePerfBaseline.java,,,1,,,,9,0,,7,53,0.28
File,ObservableTests.java,,,1,,,,161,0,,132,1111,0.09
File,ObservableWindowTests.java,,,0,,,,3,0,,3,28,0.54
File,Observer.java,,,0,,,,3,0,,3,6,8.67
File,ObserverSubscriber.java,,,1,,,,4,0,,4,20,0.95
File,Observers.java,,,0,,,,23,4,,17,89,0.87
File,ObserversTest.java,,,0,,,,41,0,,35,234,0.06
File,OnCompletedFailedException.java,,,0,,,,4,0,,2,11,3
File,OnErrorFailedException.java,,,0,,,,5,0,,2,11,3.18
File,OnErrorNotImplementedException.java,,,0,,,,5,0,,2,11,3.91
File,OnErrorThrowable.java,,,3,,,,20,4,,10,95,0.91
File,OnNextValueTest.java,,,1,,,,20,1,,19,111,0.25
File,OnSubscribeAmb.java,,,5,,,,42,10,,22,219,0.89
File,OnSubscribeAmbTest.java,,,2,,,,44,0,,26,352,0.09
File,OnSubscribeAutoConnect.java,,,3,,,,4,0,,2,30,0.77
File,OnSubscribeCollect.java,,,4,,,,7,0,,4,49,0.31
File,OnSubscribeCollectTest.java,,,1,,,,30,0,,25,199,0.1
File,OnSubscribeCombineLatest.java,,,22,,,,61,0,,18,330,0.08
File,OnSubscribeCombineLatestTest.java,,,1,,,,93,1,,76,817,0.05
File,OnSubscribeCompletableTest.java,,,0,,,,7,0,,7,66,0.23
File,OnSubscribeConcatDelayErrorTest.java,,,0,,,,41,1,,39,445,0.04
File,OnSubscribeConcatMap.java,,,19,,,,55,0,,21,276,0.11
File,OnSubscribeDefer.java,,,1,,,,3,0,,2,23,1.13
