Kind,Name,CountDeclMethodAll,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclInstanceMethod,CountDeclInstanceVariable,MaxInheritanceTree,PercentLackOfCohesion,CountDeclClassMethod
Class,"nw::NativeWindowClientView",3,0,1,2,0,3,1,1,33,0
Class,"nw::NativeWindowCocoa",92,0,1,8,0,47,12,1,99,0
Class,"nw::NativeWindowFrameView",17,0,1,2,0,17,2,1,82,0
Class,"nw::NativeWindowGtk",103,0,1,6,0,58,19,1,99,0
Class,"nw::NativeWindowToolbarWin",13,0,3,6,0,13,7,1,100,0
Class,"nw::NativeWindowWin",111,0,4,13,0,66,17,1,99,0
Class,"nw::NwProtocolHandler",3,0,1,2,0,3,0,1,0,0
Class,"nw::NwRenderViewObserver",6,0,1,4,0,6,0,1,0,0
Class,"nw::Package",21,0,0,5,0,21,6,0,96,0
Class,"nw::ResourceRequestJob",11,0,1,3,0,10,7,1,100,1
Class,"nw::StandardMenusMac",6,0,0,1,0,6,1,0,100,0
File,"nw_package.cc",,2,,,,,,,,
File,"nw_package.h",,0,,,,,,,,
File,"nw_protocol_handler.cc",,0,,,,,,,,
File,"nw_protocol_handler.h",,0,,,,,,,,
File,"nw_render_view_observer.cc",,1,,,,,,,,
File,"nw_render_view_observer.h",,0,,,,,,,,
File,"nw_shell.cc",,1,,,,,,,,
File,"nw_shell.h",,0,,,,,,,,
File,"nw_version.h",,0,,,,,,,,
Class,"nwapi::App",9,0,0,4,0,2,0,0,0,7
Class,"nwapi::Base",7,0,0,3,0,7,2,0,85,0
Class,"nwapi::Clipboard",13,0,1,2,0,8,0,1,0,0
Class,"nwapi::CookieAPIContext",1,0,1,2,0,1,6,1,100,0
Class,"nwapi::Dispatcher",7,0,1,5,0,7,0,1,0,0
Class,"nwapi::DispatcherBindings",18,0,1,1,0,4,0,1,0,14
Class,"nwapi::DispatcherHost",27,0,1,5,0,23,0,1,100,2
Class,"nwapi::Menu",15,0,1,4,0,10,0,1,0,0
Class,"nwapi::MenuDelegate",11,0,1,3,0,11,1,1,100,0
Class,"nwapi::MenuItem",17,0,1,3,0,12,0,1,0,0
Class,"nwapi::Shell",3,0,0,2,0,2,0,0,0,1
Class,"nwapi::Tray",18,0,1,3,0,13,0,1,0,0
Class,"nwapi::TrayObserver",3,0,1,2,0,3,1,1,33,0
Class,"nwapi::Window",25,0,2,7,0,20,2,1,100,0
Class,"nwapi::WindowBindings",9,0,1,1,0,4,0,1,0,5
File,"paths_mac.h",,0,,,,,,,,
Class,"prerender::PrerendererClient",3,0,2,2,0,3,0,1,0,0
File,"prerenderer_client.cc",,0,,,,,,,,
File,"prerenderer_client.h",,0,,,,,,,,
File,"print_dialog_gtk.cc",,1,,,,,,,,
File,"print_dialog_gtk.h",,0,,,,,,,,
File,"print_job.cc",,1,,,,,,,,
File,"print_job.h",,0,,,,,,,,
File,"print_job_manager.cc",,0,,,,,,,,
File,"print_job_manager.h",,0,,,,,,,,
File,"print_job_worker.cc",,3,,,,,,,,
File,"print_job_worker.h",,0,,,,,,,,
File,"print_job_worker_owner.h",,0,,,,,,,,
File,"print_messages.cc",,0,,,,,,,,
File,"print_messages.h",,0,,,,,,,,
File,"print_view_manager.cc",,2,,,,,,,,
File,"print_view_manager.h",,0,,,,,,,,
File,"print_view_manager_observer.h",,0,,,,,,,,
File,"print_web_view_helper.cc",,1,,,,,,,,
File,"print_web_view_helper.h",,0,,,,,,,,
File,"print_web_view_helper_linux.cc",,3,,,,,,,,
File,"print_web_view_helper_win.cc",,7,,,,,,,,
File,"printer_query.cc",,1,,,,,,,,
File,"printer_query.h",,0,,,,,,,,
Class,"printing::JobEventDetails",6,0,1,2,0,6,3,1,94,0
Class,"printing::PrepareFrameAndViewForPrint",16,1,2,7,0,16,12,1,79,0
Class,"printing::PrintJob",26,0,3,8,0,26,12,1,100,0
Class,"printing::PrintJobManager",11,0,1,6,0,11,5,1,98,0
Class,"printing::PrintJobWorker",20,0,1,7,0,20,6,1,99,0
Abstract Class,"printing::PrintJobWorkerOwner",6,0,1,4,0,6,0,1,0,0
Class,"printing::PrintViewManager",34,0,4,7,0,33,10,1,100,0
Abstract Class,"printing::PrintViewManagerObserver",2,0,0,0,0,2,0,0,0,0
Class,"printing::PrintWebViewHelper",51,0,2,11,0,48,19,1,100,3
Private Class,"printing::PrintWebViewHelper::PrintPreviewContext",29,0,0,6,0,29,13,0,100,0
Class,"printing::PrinterQuery",16,0,1,7,0,16,7,1,99,0
File,"printing_message_filter.cc",,1,,,,,,,,
File,"printing_message_filter.h",,0,,,,,,,,
File,"render_messages.cc",,0,,,,,,,,
File,"render_messages.h",,0,,,,,,,,
File,"resource.h",,0,,,,,,,,
File,"resource_request_job.cc",,1,,,,,,,,
File,"resource_request_job.h",,0,,,,,,,,
File,"shell.cc",,0,,,,,,,,
File,"shell.h",,0,,,,,,,,
File,"shell_access_token_store.cc",,0,,,,,,,,
File,"shell_access_token_store.h",,0,,,,,,,,
File,"shell_application_mac.h",,0,,,,,,,,
File,"shell_browser_context.cc",,0,,,,,,,,
File,"shell_browser_context.h",,0,,,,,,,,
File,"shell_browser_main.cc",,0,,,,,,,,
File,"shell_browser_main.h",,0,,,,,,,,
File,"shell_browser_main_parts.cc",,1,,,,,,,,
File,"shell_browser_main_parts.h",,0,,,,,,,,
File,"shell_content_browser_client.cc",,1,,,,,,,,
File,"shell_content_browser_client.h",,0,,,,,,,,
File,"shell_content_client.cc",,0,,,,,,,,
File,"shell_content_client.h",,0,,,,,,,,
File,"shell_content_main.cc",,0,,,,,,,,
File,"shell_content_main.h",,0,,,,,,,,
File,"shell_content_renderer_client.cc",,3,,,,,,,,
File,"shell_content_renderer_client.h",,0,,,,,,,,
File,"shell_devtools_delegate.cc",,0,,,,,,,,
File,"shell_devtools_delegate.h",,0,,,,,,,,
File,"shell_download_manager_delegate.cc",,1,,,,,,,,
File,"shell_download_manager_delegate.h",,0,,,,,,,,
File,"shell_download_manager_delegate_gtk.cc",,0,,,,,,,,
File,"shell_download_manager_delegate_win.cc",,0,,,,,,,,
File,"shell_javascript_dialog.h",,0,,,,,,,,
