Kind,Name,SumCyclomatic,MaxInheritanceTree,CountClassDerived,CountDeclMethodAll,CountClassCoupled,PercentLackOfCohesion
File,"MapActivityImpl.java",11,,,,,
File,"MapControllerImpl.java",4,,,,,
File,"MapItemFactory.java",2,,,,,
File,"MapProjectionImpl.java",2,,,,,
File,"MapProvider.java",6,,,,,
File,"MapProviderFactory.java",17,,,,,
File,"MapSource.java",4,,,,,
File,"MapTokens.java",3,,,,,
File,"MapUtils.java",15,,,,,
File,"MapViewImpl.java",23,,,,,
File,"MapsWithMeApi.java",10,,,,,
File,"MapsWithMeApp.java",6,,,,,
File,"MapsWithMeCacheListApp.java",8,,,,,
File,"MapsforgeCacheOverlay.java",18,,,,,
File,"MapsforgeCacheOverlay.java",18,,,,,
File,"MapsforgeCacheOverlayItem.java",4,,,,,
File,"MapsforgeCacheOverlayItem.java",4,,,,,
File,"MapsforgeGeoPoint.java",4,,,,,
File,"MapsforgeGeoPoint.java",2,,,,,
File,"MapsforgeMapActivity.java",21,,,,,
File,"MapsforgeMapActivity024.java",21,,,,,
File,"MapsforgeMapController.java",7,,,,,
File,"MapsforgeMapController.java",7,,,,,
File,"MapsforgeMapItemFactory.java",2,,,,,
File,"MapsforgeMapItemFactory024.java",2,,,,,
File,"MapsforgeMapProjection.java",3,,,,,
File,"MapsforgeMapProjection.java",3,,,,,
File,"MapsforgeMapProvider.java",27,,,,,
File,"MapsforgeMapSource.java",2,,,,,
File,"MapsforgeMapView.java",46,,,,,
File,"MapsforgeMapView024.java",38,,,,,
File,"MapsforgeOverlay.java",7,,,,,
File,"MapsforgeOverlay.java",7,,,,,
File,"MatcherWrapper.java",12,,,,,
File,"MockedCache.java",23,,,,,
File,"MockedLazyInitializedList.java",2,,,,,
File,"ModifiedFilter.java",3,,,,,
File,"MwmRequest.java",22,,,,,
File,"NameComparator.java",2,,,,,
File,"NameComparatorTest.java",10,,,,,
File,"NavigateAnyPointActivity.java",81,,,,,
File,"NavigationActionProvider.java",6,,,,,
File,"NavigationAppFactory.java",48,,,,,
File,"NavigationAppFactoryTest.java",2,,,,,
File,"NavigationSelectionActionProvider.java",14,,,,,
File,"NavigonApp.java",2,,,,,
File,"Network.java",54,,,,,
File,"NetworkTest.java",1,,,,,
File,"NewShowcaseDrawer.java",7,,,,,
File,"NextPageGeocacheListLoader.java",2,,,,,
File,"NoCloseInputStream.java",3,,,,,
File,"NoLoggingManager.java",5,,,,,
File,"OAuth.java",4,,,,,
File,"OAuthAuthorizationActivity.java",54,,,,,
File,"OAuthPreference.java",11,,,,,
File,"OAuthTest.java",6,,,,,
File,"OCApiConnector.java",17,,,,,
File,"OCApiLiveConnector.java",29,,,,,
File,"OCAuthParams.java",3,,,,,
File,"OCAuthorizationActivity.java",10,,,,,
File,"OCConnector.java",12,,,,,
File,"OCConnectorTest.java",2,,,,,
File,"OCPreferenceKeys.java",8,,,,,
File,"OOMDumpingUncaughtExceptionHandler.java",11,,,,,
File,"OXConnector.java",16,,,,,
File,"OXConnectorTest.java",1,,,,,
File,"OXGPXParser.java",4,,,,,
File,"OfflineGeocacheListLoader.java",3,,,,,
File,"OkapiClient.java",149,,,,,
File,"OkapiClientTest.java",4,,,,,
File,"OkapiError.java",14,,,,,
File,"OkapiLoggingManager.java",8,,,,,
File,"OkapiService.java",3,,,,,
File,"OnMapDragListener.java",1,,,,,
File,"OnShowcaseEventListener.java",6,,,,,
File,"OpenCachingApi.java",18,,,,,
File,"OriginFilter.java",5,,,,,
File,"OruxMapsApp.java",2,,,,,
File,"OverlayImpl.java",3,,,,,
File,"OverlayItemImpl.java",3,,,,,
File,"OwnerActionsClickListener.java",3,,,,,
File,"OwnerGeocacheListLoader.java",3,,,,,
File,"PageIndicator.java",5,,,,,
File,"Parameters.java",14,,,,,
File,"ParametersTest.java",6,,,,,
File,"ParametersTest.java",6,,,,,
File,"ParserException.java",3,,,,,
File,"PebbleApp.java",2,,,,,
File,"PersonalNote.java",20,,,,,
File,"PersonalNoteFilter.java",3,,,,,
File,"PersonalNoteTest.java",7,,,,,
File,"PocketGeocacheListLoader.java",3,,,,,
File,"PocketQueryList.java",11,,,,,
File,"PointTarget.java",3,,,,,
File,"PopularityComparator.java",1,,,,,
File,"PopularityFilter.java",4,,,,,
File,"PopularityRatioComparator.java",5,,,,,
File,"PopularityRatioFilter.java",8,,,,,
File,"PositionAndScaleOverlay.java",11,,,,,
File,"PositionDrawer.java",20,,,,,
File,"PositionHistory.java",9,,,,,
File,"PriorityThreadFactory.java",2,,,,,
File,"ProcessUtils.java",12,,,,,
File,"ProcessUtilsTest.java",3,,,,,
File,"Progress.java",22,,,,,
File,"ProgressInputStream.java",5,,,,,
File,"ProgressInputStreamTest.java",2,,,,,
File,"ProgressTest.java",3,,,,,
File,"PseudoList.java",7,,,,,
File,"PseudoListTest.java",3,,,,,
File,"RMapsApp.java",5,,,,,
File,"RadarApp.java",2,,,,,
File,"RatingComparator.java",3,,,,,
File,"RecaptchaHandler.java",11,,,,,
File,"RecaptchaReceiver.java",7,,,,,
File,"Reflector.java",5,,,,,
File,"ReflectorFactory.java",8,,,,,
File,"RegExPerformanceTest.java",7,,,,,
File,"RegExRealPerformanceTest.java",2,,,,,
