Kind,Name,PercentLackOfCohesion,MaxInheritanceTree,CountClassBase,CountClassCoupled,CountDeclMethodAll,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod
File,"RegularExpressionTest.java",,,,,,2,0,2
File,"RemapRunOnGpu.java",,,,,,2,1,2
File,"RemapTest.java",,,,,,2,0,2
File,"ResourceReader.java",,,,,,0,0,3
File,"ReverseClassHierarchy.java",,,,,,4,1,4
File,"Rootbeer.java",,,,,,10,8,11
File,"RootbeerAtomicInt.java",,,,,,2,1,2
File,"RootbeerCompiler.java",,,,,,29,6,29
File,"RootbeerDfs.java",,,,,,2,1,2
File,"RootbeerGpu.java",,,,,,0,0,32
File,"RootbeerPaths.java",,,,,,8,0,9
File,"RootbeerTest.java",,,,,,3,0,3
File,"RootbeerTestAgent.java",,,,,,9,8,9
File,"SafeUuidGenerator.java",,,,,,0,0,1
File,"SameClassUsedClass.java",,,,,,3,2,3
File,"SameClassUsedTwiceRunOnGpu1.java",,,,,,3,1,3
File,"SameClassUsedTwiceRunOnGpu2.java",,,,,,3,1,3
File,"SameClassUsedTwiceTest1.java",,,,,,2,0,2
File,"SameClassUsedTwiceTest2.java",,,,,,2,0,2
File,"Segment.java",,,,,,4,2,4
File,"SegmentParser.java",,,,,,4,0,4
File,"Sentinal.java",,,,,,0,0,0
File,"Serializer.java",,,,,,28,4,29
File,"SerializerAdder.java",,,,,,3,1,3
File,"SharedMemSimpleRunOnGpu.java",,,,,,6,8,6
File,"SharedMemSimpleTest.java",,,,,,2,0,2
File,"ShiftRunOnGpu.java",,,,,,3,12,3
File,"ShiftTest.java",,,,,,2,0,2
File,"ShortArrays.java",,,,,,2,0,2
File,"ShortArraysRunOnGpu.java",,,,,,3,4,3
File,"SimpleSynchronizedObject.java",,,,,,3,1,3
File,"SimpleSynchronizedRunOnGpu.java",,,,,,3,1,3
File,"SimpleSynchronizedTest.java",,,,,,2,0,2
File,"SimpleTest.java",,,,,,3,0,3
File,"SimpleTestRunOnGpu.java",,,,,,3,1,3
File,"Stack.java",,,,,,5,1,5
File,"StaticOffsets.java",,,,,,16,9,16
File,"StaticsTest1.java",,,,,,2,0,2
File,"StaticsTest1BaseClass.java",,,,,,1,0,1
File,"StaticsTest1RunOnGpu.java",,,,,,3,7,3
File,"StaticsTest2.java",,,,,,2,0,2
File,"StaticsTest2BaseClass.java",,,,,,1,0,1
File,"StaticsTest2PrivateClass.java",,,,,,0,0,3
File,"StaticsTest2PublicClass.java",,,,,,3,0,3
File,"StaticsTest2RunOnGpu.java",,,,,,3,7,3
File,"StaticsTest3.java",,,,,,2,0,2
File,"StaticsTest3BaseClass.java",,,,,,1,0,1
File,"StaticsTest3RunOnGpu.java",,,,,,3,7,3
File,"StatsRow.java",,,,,,8,7,8
File,"StepFilterRunOnGpu.java",,,,,,4,6,4
File,"StepFilterTest.java",,,,,,2,0,2
File,"Stopwatch.java",,,,,,7,4,7
File,"StrictMath.java",,,,,,1,0,51
File,"StrictMath.java",,,,,,1,0,51
File,"StrictMathRunOnGpu.java",,,,,,3,5,3
File,"StrictMathTest.java",,,,,,2,0,2
File,"StringArrayTest1.java",,,,,,2,0,2
File,"StringArrayTest1RunOnGpu.java",,,,,,3,3,3
File,"StringBuilderRunOnGpu1.java",,,,,,3,1,3
File,"StringBuilderRunOnGpu2.java",,,,,,2,1,2
File,"StringBuilderTest1.java",,,,,,2,0,2
File,"StringBuilderTest2.java",,,,,,2,0,2
File,"StringConstantKernel.java",,,,,,2,1,2
File,"StringConstantTest.java",,,,,,2,0,2
File,"StringDelegate.java",,,,,,1,0,1
File,"StringRunOnGpu.java",,,,,,3,2,3
File,"StringTest.java",,,,,,2,0,2
File,"SuperClass.java",,,,,,2,0,2
