Kind,Name,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgEssentialStrictModified,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariableInternal,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariableProtectedInternal,CountDeclInstanceVariablePublic,CountDeclLibunit,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodDefault,CountDeclMethodFriend,CountDeclMethodInternal,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodProtectedInternal,CountDeclMethodPublic,CountDeclMethodStrictPrivate,CountDeclMethodStrictPublished,CountDeclModule,CountDeclProgunit,CountDeclSubprogram,CountInput,CountLine,CountLine_Html,CountLine_Javascript,CountLine_Php,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCode_Javascript,CountLineCode_Php,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountLineInactive,CountLinePreprocessor,CountOutput,CountPackageCoupled,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtEmpty,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,EssentialStrictModified,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxEssentialStrictModified,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,SumEssentialStrictModified
Public Method,"io.realm.internal.TableSpec.getColumnName",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,0,,,,3,,,1,1,0,,,,,,2,,1,1,2,1,,,,1,,,1,1,1,1,,,,,,,,,,0,,,0.00,,,,,
Public Method,"io.realm.internal.TableSpec.getColumnType",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,0,,,,3,,,1,1,0,,,,,,2,,1,1,2,1,,,,1,,,1,1,1,1,,,,,,,,,,0,,,0.00,,,,,
Public Method,"io.realm.internal.TableSpec.getSubtableSpec",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,,,,0,,,,3,,,1,1,0,,,,,,2,,1,1,2,1,,,,1,,,1,1,1,1,,,,,,,,,,0,,,0.00,,,,,
Public Method,"io.realm.internal.TableSpec.hashCode",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,,,,0,,,,6,,,3,4,0,,,,,,2,,1,4,5,3,,,,2,,,2,2,2,1,,,,,,,,,,0,,,0.00,,,,,
Public Class,"io.realm.internal.TableSpecEqualityTest",,,,,,,1,1,1,1,,13,2,11,0,1,2,0,,0,0,,,,,5,0,,,,,,,5,5,,0,,,0,0,,5,,,,,,,75,,,,16,,,,59,,,16,47,0,,,,,,,,,47,53,16,,,,37,,,,,,,,,1,1,1,1,,,2,0,,0,0.00,5,5,5,5,
Public Method,"io.realm.internal.TableSpecEqualityTest.testShouldMatchDeepRecursiveIdenticalSpecs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,17,,,,2,,,,15,,,3,13,0,,,,,,5,,1,13,14,3,,,,11,,,1,1,1,1,,,,,,,,,,0,,,0.00,,,,,
Public Method,"io.realm.internal.TableSpecEqualityTest.testShouldMatchIdenticalSimpleSpecs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,11,,,,2,,,,9,,,3,7,0,,,,,,4,,1,7,8,3,,,,5,,,1,1,1,1,,,,,,,,,,0,,,0.00,,,,,
Public Method,"io.realm.internal.TableSpecEqualityTest.testShouldNotMatchDeepRecursiveDifferentSpecs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,17,,,,2,,,,15,,,3,13,0,,,,,,5,,1,13,14,3,,,,11,,,1,1,1,1,,,,,,,,,,0,,,0.00,,,,,
Public Method,"io.realm.internal.TableSpecEqualityTest.testShouldntMatchSpecsWithDifferentColumnNames",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,11,,,,2,,,,9,,,3,7,0,,,,,,4,,1,7,8,3,,,,5,,,1,1,1,1,,,,,,,,,,0,,,0.00,,,,,
Public Method,"io.realm.internal.TableSpecEqualityTest.testShouldntMatchSpecsWithDifferentColumnTypes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,11,,,,2,,,,9,,,3,7,0,,,,,,4,,1,7,8,3,,,,5,,,1,1,1,1,,,,,,,,,,0,,,0.00,,,,,
