Kind,Name,CountClassCoupled,CountClassDerived,CountDeclInstanceVariable,CountDeclMethodAll,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic,CountDeclClassMethod,CountDeclFile,CountLineCode,RatioCommentToCode,CountDeclFunction
File,OperatorCast.java,,,1,,,,6,0,,31,0.58,5
File,OperatorCastTest.java,,,0,,,,2,0,,33,0.45,2
File,OperatorConcat.java,,,13,,,,32,1,,167,0.22,20
File,OperatorConcatTest.java,,,10,,,,74,0,,624,0.11,43
File,OperatorDebounceTest.java,,,3,,,,23,0,,233,0.15,23
File,OperatorDebounceWithSelector.java,,,3,,,,10,0,,65,0.34,9
File,OperatorDebounceWithTime.java,,,10,,,,17,0,,120,0.34,11
File,OperatorDefaultIfEmptyTest.java,,,0,,,,8,0,,82,0.18,8
File,OperatorDelay.java,,,5,,,,11,0,,64,0.36,8
File,OperatorDelayTest.java,,,7,,,,64,0,,645,0.02,50
File,OperatorDelayWithSelector.java,,,2,,,,7,0,,45,0.51,6
File,OperatorDematerialize.java,,,1,,,,12,1,,50,0.64,6
File,OperatorDematerializeTest.java,,,0,,,,7,0,,98,0.15,7
File,OperatorDistinct.java,,,2,,,,7,1,,45,0.6,6
File,OperatorDistinctTest.java,,,3,,,,9,0,,99,0.16,8
File,OperatorDistinctUntilChanged.java,,,3,,,,8,1,,49,0.53,6
File,OperatorDistinctUntilChangedTest.java,,,3,,,,9,0,,105,0.15,8
File,OperatorDoOnEach.java,,,2,,,,11,0,,59,0.34,5
File,OperatorDoOnEachTest.java,,,2,,,,21,0,,163,0.12,16
File,OperatorDoOnRequest.java,,,2,,,,8,0,,45,0.47,8
File,OperatorDoOnRequestTest.java,,,0,,,,9,0,,60,0.1,9
File,OperatorDoOnSubscribe.java,,,1,,,,2,0,,16,1.56,2
File,OperatorDoOnSubscribeTest.java,,,0,,,,9,0,,79,0.19,9
File,OperatorDoOnUnsubscribe.java,,,1,,,,2,0,,17,1.47,2
File,OperatorDoOnUnsubscribeTest.java,,,0,,,,12,0,,111,0.25,8
File,OperatorElementAt.java,,,5,,,,16,0,,75,0.35,10
