Kind,Name,SumCyclomatic,MaxInheritanceTree,CountClassDerived,CountDeclMethodAll,CountClassCoupled,PercentLackOfCohesion
File,"LazyInitializedListTest.java",3,,,,,
File,"LazyInitializedListTest.java",11,,,,,
File,"LeastRecentlyUsedMap.java",16,,,,,
File,"LeastRecentlyUsedMapTest.java",4,,,,,
File,"LeastRecentlyUsedSet.java",19,,,,,
File,"LeastRecentlyUsedSetTest.java",3,,,,,
File,"LiveMapInfoDialogBuilder.java",2,,,,,
File,"LiveMapStrategy.java",9,,,,,
File,"LoadFlags.java",6,,,,,
File,"LocParser.java",26,,,,,
File,"LocParserTest.java",4,,,,,
File,"LocalStorage.java",64,,,,,
File,"LocalStorageTest.java",1,,,,,
File,"LocationProviderType.java",3,,,,,
File,"LocusApp.java",5,,,,,
File,"LocusDataStorageProvider.java",7,,,,,
File,"LocusExportCacheListApp.java",1,,,,,
File,"LocusShowCacheListApp.java",1,,,,,
File,"Log.java",22,,,,,
File,"LogCacheActivity.java",97,,,,,
File,"LogEntry.java",19,,,,,
File,"LogResult.java",3,,,,,
File,"LogTemplateProvider.java",44,,,,,
File,"LogTemplateProviderTest.java",1,,,,,
File,"LogTrackableActivity.java",43,,,,,
File,"LogType.java",15,,,,,
File,"LogTypeTest.java",3,,,,,
File,"LogTypeTrackable.java",4,,,,,
File,"LogTypeTrackableTest.java",2,,,,,
File,"LogViewHolder.java",3,,,,,
File,"LoggingUI.java",22,,,,,
File,"LogsViewCreator.java",24,,,,,
File,"MWMPoint.java",17,,,,,
File,"MWMResponse.java",7,,,,,
File,"MainActivity.java",101,,,,,
File,"MapActivityImpl.java",11,,,,,
File,"MapControllerImpl.java",4,,,,,
File,"MapItemFactory.java",2,,,,,
File,"MapProjectionImpl.java",2,,,,,
File,"MapProvider.java",6,,,,,
File,"MapProviderFactory.java",17,,,,,
File,"MapSource.java",4,,,,,
File,"MapTokens.java",3,,,,,
File,"MapViewImpl.java",23,,,,,
File,"MapsWithMeApi.java",10,,,,,
File,"MapsWithMeApp.java",6,,,,,
File,"MapsWithMeCacheListApp.java",8,,,,,
File,"MapsforgeCacheOverlay.java",18,,,,,
File,"MapsforgeCacheOverlay.java",18,,,,,
File,"MapsforgeCacheOverlayItem.java",4,,,,,
File,"MapsforgeCacheOverlayItem.java",4,,,,,
File,"MapsforgeGeoPoint.java",4,,,,,
File,"MapsforgeGeoPoint.java",2,,,,,
File,"MapsforgeMapActivity.java",21,,,,,
File,"MapsforgeMapActivity024.java",21,,,,,
File,"MapsforgeMapController.java",7,,,,,
File,"MapsforgeMapController.java",7,,,,,
File,"MapsforgeMapItemFactory.java",2,,,,,
File,"MapsforgeMapItemFactory024.java",2,,,,,
File,"MapsforgeMapProjection.java",3,,,,,
File,"MapsforgeMapProjection.java",3,,,,,
File,"MapsforgeMapProvider.java",27,,,,,
File,"MapsforgeMapSource.java",2,,,,,
File,"MapsforgeMapView.java",44,,,,,
File,"MapsforgeMapView024.java",36,,,,,
File,"MapsforgeOverlay.java",7,,,,,
File,"MapsforgeOverlay.java",7,,,,,
File,"MatcherWrapper.java",12,,,,,
File,"MockedCache.java",23,,,,,
File,"MockedLazyInitializedList.java",2,,,,,
File,"ModifiedFilter.java",3,,,,,
File,"MwmRequest.java",22,,,,,
File,"NameComparator.java",2,,,,,
File,"NameComparatorTest.java",10,,,,,
File,"NavigateAnyPointActivity.java",78,,,,,
File,"NavigationAppFactory.java",46,,,,,
File,"NavigationAppFactoryTest.java",2,,,,,
File,"NavigonApp.java",2,,,,,
File,"Network.java",54,,,,,
File,"NetworkTest.java",1,,,,,
File,"NextPageGeocacheListLoader.java",2,,,,,
File,"NoCloseInputStream.java",3,,,,,
File,"NoLoggingManager.java",5,,,,,
File,"NoTitleDialog.java",4,,,,,
File,"OAuth.java",4,,,,,
File,"OAuthAuthorizationActivity.java",54,,,,,
File,"OAuthPreference.java",11,,,,,
File,"OAuthTest.java",6,,,,,
File,"OCApiConnector.java",17,,,,,
File,"OCApiLiveConnector.java",28,,,,,
File,"OCAuthParams.java",3,,,,,
File,"OCAuthorizationActivity.java",10,,,,,
File,"OCConnector.java",12,,,,,
File,"OCConnectorTest.java",2,,,,,
File,"OCPreferenceKeys.java",8,,,,,
File,"OXConnector.java",16,,,,,
File,"OXConnectorTest.java",1,,,,,
File,"OXGPXParser.java",4,,,,,
File,"OfflineGeocacheListLoader.java",4,,,,,
File,"OkapiClient.java",144,,,,,
File,"OkapiClientTest.java",3,,,,,
File,"OkapiError.java",14,,,,,
File,"OkapiLoggingManager.java",8,,,,,
File,"OkapiService.java",3,,,,,
File,"OnMapDragListener.java",1,,,,,
File,"OpenCachingApi.java",18,,,,,
File,"OriginFilter.java",5,,,,,
File,"OruxMapsApp.java",2,,,,,
File,"OverlayImpl.java",3,,,,,
File,"OverlayItemImpl.java",3,,,,,
File,"OwnerActionsClickListener.java",3,,,,,
File,"OwnerGeocacheListLoader.java",3,,,,,
File,"PageIndicator.java",5,,,,,
File,"Parameters.java",14,,,,,
File,"ParametersTest.java",6,,,,,
File,"ParametersTest.java",6,,,,,
File,"ParserException.java",3,,,,,
File,"PebbleApp.java",2,,,,,
File,"PersonalNote.java",20,,,,,
File,"PersonalNoteFilter.java",3,,,,,
File,"PersonalNoteTest.java",7,,,,,
File,"PocketGeocacheListLoader.java",3,,,,,
File,"PocketQueryList.java",11,,,,,
File,"PopularityComparator.java",1,,,,,
File,"PopularityFilter.java",4,,,,,
File,"PopularityRatioComparator.java",5,,,,,
File,"PopularityRatioFilter.java",8,,,,,
File,"PositionAndScaleOverlay.java",11,,,,,
File,"PositionDrawer.java",20,,,,,
File,"PositionHistory.java",9,,,,,
File,"PriorityThreadFactory.java",2,,,,,
File,"ProcessUtils.java",12,,,,,
File,"ProcessUtilsTest.java",3,,,,,
File,"Progress.java",22,,,,,
File,"ProgressInputStream.java",5,,,,,
File,"ProgressInputStreamTest.java",2,,,,,
File,"ProgressTest.java",3,,,,,
File,"PseudoList.java",3,,,,,
File,"PseudoListTest.java",3,,,,,
File,"RMapsApp.java",5,,,,,
File,"RadarApp.java",2,,,,,
File,"RatingComparator.java",3,,,,,
File,"RecaptchaHandler.java",11,,,,,
File,"RecaptchaReceiver.java",7,,,,,
File,"RegExPerformanceTest.java",7,,,,,
File,"RegExRealPerformanceTest.java",2,,,,,
File,"RegisterSend2CgeoPreference.java",11,,,,,
File,"RemoveFromHistoryLoader.java",3,,,,,
File,"RxUtils.java",1,,,,,
File,"ScaleDrawer.java",8,,,,,
File,"SearchActivity.java",53,,,,,
File,"SearchResult.java",51,,,,,
File,"SearchResultTest.java",3,,,,,
File,"SelectMapfileActivity.java",15,,,,,
File,"SensorsTest.java",3,,,,,
File,"Settings.java",183,,,,,
File,"SettingsActivity.java",113,,,,,
File,"SettingsTest.java",4,,,,,
File,"SimpleCancellableHandler.java",15,,,,,
File,"SimpleDirChooser.java",42,,,,,
File,"SimpleDirChooserUITest.java",9,,,,,
File,"SimpleHandler.java",4,,,,,
File,"SizeComparator.java",2,,,,,
File,"SizeFilter.java",6,,,,,
