Kind,Name,CountDeclClassMethod,MaxInheritanceTree,CountClassDerived,PercentLackOfCohesion,CountClassCoupled,CountDeclInstanceVariable,CountLineCode,CountDeclFile,CountDeclFunction,RatioCommentToCode,CountDeclMethodAll,SumCyclomatic
TypeVariable,rx.Observable.mapMany.T,0,0,0,0,0,0,0,,,0,0,0
TypeVariable,rx.Observable.mapMany.T,0,0,0,0,0,0,0,,,0,0,0
Public Static Generic Method,rx.Observable.materialize,,,,,,,3,,,3.67,,
Public Method,rx.Observable.materialize,,,,,,,3,,,3,,
TypeVariable,rx.Observable.materialize.T,0,0,0,0,0,0,0,,,0,0,0
Public Static Generic Method,rx.Observable.merge,,,,,,,3,,,4.67,,
Public Static Generic Method,rx.Observable.merge,,,,,,,3,,,4.67,,
Public Static Generic Method,rx.Observable.merge,,,,,,,3,,,4.67,,
TypeVariable,rx.Observable.merge.T,0,0,0,0,0,0,0,,,0,0,0
TypeVariable,rx.Observable.merge.T,0,0,0,0,0,0,0,,,0,0,0
TypeVariable,rx.Observable.merge.T,0,0,0,0,0,0,0,,,0,0,0
Public Static Generic Method,rx.Observable.mergeDelayError,,,,,,,3,,,5.33,,
Public Static Generic Method,rx.Observable.mergeDelayError,,,,,,,3,,,5.33,,
Public Static Generic Method,rx.Observable.mergeDelayError,,,,,,,3,,,5.33,,
TypeVariable,rx.Observable.mergeDelayError.T,0,0,0,0,0,0,0,,,0,0,0
TypeVariable,rx.Observable.mergeDelayError.T,0,0,0,0,0,0,0,,,0,0,0
TypeVariable,rx.Observable.mergeDelayError.T,0,0,0,0,0,0,0,,,0,0,0
Public Static Generic Method,rx.Observable.never,,,,,,,3,,,4,,
TypeVariable,rx.Observable.never.T,0,0,0,0,0,0,0,,,0,0,0
Public Static Method,rx.Observable.noOpSubscription,,,,,,,3,,,2.33,,
Public Static Generic Method,rx.Observable.onErrorResumeNext,,,,,,,3,,,8.67,,
Public Static Generic Method,rx.Observable.onErrorResumeNext,,,,,,,11,,,2.27,,
Public Static Generic Method,rx.Observable.onErrorResumeNext,,,,,,,3,,,8,,
Public Method,rx.Observable.onErrorResumeNext,,,,,,,3,,,7.67,,
Public Method,rx.Observable.onErrorResumeNext,,,,,,,10,,,2.4,,
Public Method,rx.Observable.onErrorResumeNext,,,,,,,3,,,8,,
Class,rx.Observable.onErrorResumeNext.(Anon_16),0,0,0,0,5,0,6,,,0,13,1
Public Method,rx.Observable.onErrorResumeNext.(Anon_16).call,,,,,,,3,,,0,,
Class,rx.Observable.onErrorResumeNext.(Anon_28),0,0,0,0,4,0,5,,,0,13,1
Public Method,rx.Observable.onErrorResumeNext.(Anon_28).call,,,,,,,3,,,0,,
TypeVariable,rx.Observable.onErrorResumeNext.T,0,0,0,0,0,0,0,,,0,0,0
TypeVariable,rx.Observable.onErrorResumeNext.T,0,0,0,0,0,0,0,,,0,0,0
TypeVariable,rx.Observable.onErrorResumeNext.T,0,0,0,0,0,0,0,,,0,0,0
Public Static Generic Method,rx.Observable.onErrorReturn,,,,,,,3,,,7.67,,
Public Method,rx.Observable.onErrorReturn,,,,,,,3,,,7.33,,
