Kind,Name,CountClassCoupled,CountClassDerived,CountDeclInstanceVariable,SumCyclomatic,MaxInheritanceTree,PercentLackOfCohesion,CountDeclMethodAll,RatioCommentToCode,CountDeclClassMethod,CountLineCode,CountDeclFile,CountDeclFunction
File,SerialSubscriptionTests.java,,,1,6,,,,0.3,0,50,,6
File,SleepingAction.java,,,3,5,,,,0.55,0,29,,2
File,StartWithTests.java,,,0,2,,,,0.63,0,24,,2
File,Subject.java,,,0,1,,,,1.88,0,8,,1
File,Subscription.java,,,0,1,,,,5.4,0,5,,1
File,Subscriptions.java,,,0,10,,,,1.48,6,44,,10
File,SubscriptionsTest.java,,,0,1,,,,0.94,0,16,,1
File,SwingObservable.java,,,0,12,,,,1.62,9,50,,10
File,SwingScheduler.java,,,2,28,,,,0.11,3,208,,23
File,SynchronizedObserver.java,,,5,12,,,,0.9,0,58,,6
File,SynchronizedObserverTest.java,,,30,81,,,,0.21,1,545,,34
File,TakeWhileTest.java,,,0,0,,,,3,0,5,,0
File,TestChainPerformance.java,,,0,14,,,,0.22,1,67,,5
File,TestScheduler.java,,,7,15,,,,0.22,0,83,,12
File,ThrottleFirstTests.java,,,0,1,,,,0.62,0,37,,1
File,ThrottleLastTests.java,,,0,1,,,,0.62,0,37,,1
File,ThrottleWithTimeoutTests.java,,,0,1,,,,0.62,0,37,,1
File,TimeInterval.java,,,2,14,,,,0.54,0,48,,6
File,TimeIntervalObserverTest.java,,,0,0,,,,3,0,5,,0
File,TimeoutTests.java,,,3,7,,,,0.17,0,88,,7
File,Timestamped.java,,,2,13,,,,0.58,0,48,,6
File,UnsubscribeTester.java,,,2,22,,,,0.3,4,129,,18
File,ZipTests.java,,,3,9,,,,0.25,0,76,,9
File,package-info.java,,,0,0,,,,0,0,0,,0
File,package-info.java,,,0,0,,,,42,0,1,,0
Package,rx,,,23,562,,,,1.35,98,3251,26,
Public Class,rx.CombineLatestTests,11,0,3,1,0,0,13,0.58,0,31,,
Class,rx.CombineLatestTests.(Anon_1),4,0,0,1,0,0,13,0,0,5,,
Public Method,rx.CombineLatestTests.(Anon_1).call,,,,,,,,0,,3,,
