Kind,Name,PercentLackOfCohesion,MaxInheritanceTree,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclMethodAll,CountDeclInstanceMethod,CountDeclClassMethod,CountDeclInstanceVariable
Class,content::NWCookieMonsterDelegate,50,1,1,6,0,,4,4,0,1
Class,content::Shell,98,1,3,16,0,,65,57,7,13
Class,content::ShellAccessTokenStore,100,1,1,3,0,,7,7,0,2
Class,content::ShellBrowserContext,99,1,1,9,0,,27,25,0,9
Class,content::ShellBrowserMainParts,97,1,1,8,0,,19,19,0,9
Class,content::ShellContentBrowserClient,97,1,1,19,0,,29,28,0,3
Class,content::ShellContentClient,0,1,1,6,0,,8,8,0,0
Class,content::ShellContentRendererClient,100,1,1,5,0,,11,10,1,5
Class,content::ShellDevToolsDelegate,95,1,1,5,0,,12,12,0,2
Class,content::ShellDevToolsFrontend,96,1,2,5,0,,11,10,0,3
Class,content::ShellDownloadManagerDelegate,100,1,2,2,0,,10,10,0,3
Class,content::ShellJavaScriptDialog,63,0,0,5,0,,6,6,0,6
Class,content::ShellJavaScriptDialogCreator,88,1,1,4,0,,9,9,0,1
Class,content::ShellLoginDialog,100,1,1,2,0,,11,11,0,4
Class,content::ShellMainDelegate,100,1,1,4,0,,9,8,1,3
Class,content::ShellNetworkDelegate,0,1,1,5,0,,19,19,0,0
Class,content::ShellQuotaPermissionContext,0,1,1,2,0,,4,4,0,0
Class,content::ShellRenderProcessObserver,100,1,1,2,0,,9,9,0,1
Class,content::ShellResourceContext,100,1,1,2,0,,5,5,0,1
Class,content::ShellResourceDispatcherHostDelegate,83,1,1,2,0,,6,6,0,1
Class,content::ShellURLRequestContextGetter,100,1,1,5,0,,7,7,0,18
Class,content::Target,80,1,1,3,0,,12,12,0,6
File,crash_handler_host_linux.cc,,,,,,0,,,,
File,crash_handler_host_linux.h,,,,,,6,,,,
File,dispatcher.cc,,,,,,0,,,,
File,dispatcher.h,,,,,,1,,,,
File,dispatcher_bindings.cc,,,,,,0,,,,
File,dispatcher_bindings.h,,,,,,1,,,,
File,dispatcher_host.cc,,,,,,0,,,,
File,dispatcher_host.h,,,,,,1,,,,
File,file_select_helper.cc,,,,,,0,,,,
File,file_select_helper.h,,,,,,2,,,,
File,global_shortcut_listener.cc,,,,,,0,,,,
File,global_shortcut_listener.h,,,,,,2,,,,
File,global_shortcut_listener_mac.h,,,,,,1,,,,
File,global_shortcut_listener_win.cc,,,,,,0,,,,
File,global_shortcut_listener_win.h,,,,,,1,,,,
File,global_shortcut_listener_x11.cc,,,,,,0,,,,
File,global_shortcut_listener_x11.h,,,,,,1,,,,
File,gpu_internals.cc,,,,,,0,,,,
File,gpu_internals.h,,,,,,0,,,,
File,hard_error_handler_win.cc,,,,,,0,,,,
File,hard_error_handler_win.h,,,,,,0,,,,
File,login_view.cc,,,,,,0,,,,
File,login_view.h,,,,,,1,,,,
File,media_capture_devices_dispatcher.cc,,,,,,0,,,,
File,media_capture_devices_dispatcher.h,,,,,,2,,,,
File,media_internals.cc,,,,,,0,,,,
File,media_internals.h,,,,,,1,,,,
File,media_stream_devices_controller.cc,,,,,,0,,,,
File,media_stream_devices_controller.h,,,,,,1,,,,
File,menu.cc,,,,,,0,,,,
File,menu.h,,,,,,1,,,,
File,menu_delegate_win.cc,,,,,,0,,,,
File,menu_delegate_win.h,,,,,,1,,,,
File,menu_gtk.cc,,,,,,0,,,,
File,menu_win.cc,,,,,,0,,,,
File,menuitem.cc,,,,,,0,,,,
File,menuitem.h,,,,,,1,,,,
File,menuitem_delegate_mac.h,,,,,,0,,,,
File,menuitem_gtk.cc,,,,,,0,,,,
File,menuitem_win.cc,,,,,,0,,,,
File,native_window.cc,,,,,,0,,,,
File,native_window.h,,,,,,1,,,,
File,native_window_gtk.cc,,,,,,0,,,,
File,native_window_gtk.h,,,,,,1,,,,
File,native_window_helper_mac.h,,,,,,0,,,,
File,native_window_mac.h,,,,,,1,,,,
File,native_window_toolbar_win.cc,,,,,,0,,,,
File,native_window_toolbar_win.h,,,,,,1,,,,
File,native_window_win.cc,,,,,,2,,,,
File,native_window_win.h,,,,,,1,,,,
Class,net::AppProtocolHandler,100,1,1,5,0,,4,4,0,1
Class,net::URLRequestNWAppJob,60,1,1,7,0,,6,5,0,4
File,net_disk_cache_remover.cc,,,,,,0,,,,
File,net_disk_cache_remover.h,,,,,,0,,,,
Class,nw::AutofillAgent,100,1,3,4,0,,16,16,0,3
Class,nw::CapturePageHelper,100,1,2,4,0,,9,7,1,2
Abstract Class,nw::NativeWindow,97,0,0,8,3,,48,47,1,4
Class,nw::NativeWindowClientView,33,1,1,2,0,,3,3,0,1
Class,nw::NativeWindowCocoa,99,1,1,9,0,,98,50,0,12
Class,nw::NativeWindowFrameView,82,1,1,2,0,,17,17,0,2
Class,nw::NativeWindowGtk,99,1,1,6,0,,108,60,0,20
Class,nw::NativeWindowToolbarWin,100,1,3,7,0,,13,13,0,7
Class,nw::NativeWindowWin,99,1,4,12,0,,125,77,0,21
