Kind,Name,PercentLackOfCohesion,MaxInheritanceTree,CountClassCoupled,CountClassDerived,CountDeclClass,CountClassBase,CountDeclClassMethod,CountDeclInstanceMethod,CountDeclInstanceVariable
File,popup_controller_common.cc,,,,,0,,,,
File,popup_controller_common.h,,,,,1,,,,
Class,prerender::PrerendererClient,0,1,2,0,,2,0,3,0
File,prerenderer_client.cc,,,,,0,,,,
File,prerenderer_client.h,,,,,1,,,,
File,print_dialog_gtk.cc,,,,,2,,,,
File,print_dialog_gtk.h,,,,,1,,,,
File,print_job.cc,,,,,0,,,,
File,print_job.h,,,,,2,,,,
File,print_job_manager.cc,,,,,0,,,,
File,print_job_manager.h,,,,,1,,,,
File,print_job_worker.cc,,,,,0,,,,
File,print_job_worker.h,,,,,1,,,,
File,print_job_worker_owner.h,,,,,1,,,,
File,print_messages.cc,,,,,0,,,,
File,print_messages.h,,,,,0,,,,
File,print_view_manager.cc,,,,,0,,,,
File,print_view_manager.h,,,,,1,,,,
File,print_view_manager_observer.h,,,,,1,,,,
File,print_web_view_helper.cc,,,,,1,,,,
File,print_web_view_helper.h,,,,,2,,,,
File,print_web_view_helper_linux.cc,,,,,0,,,,
File,print_web_view_helper_pdf_win.cc,,,,,0,,,,
File,print_web_view_helper_win.cc,,,,,0,,,,
File,printer_query.cc,,,,,0,,,,
File,printer_query.h,,,,,1,,,,
Class,printing::JobEventDetails,94,1,2,0,,1,0,6,3
Class,printing::PrepareFrameAndViewForPrint,79,1,6,0,,2,0,16,12
Class,printing::PrintJob,100,1,8,0,,3,0,24,9
Class,printing::PrintJobManager,98,1,6,0,,1,0,11,5
Class,printing::PrintJobWorker,99,1,7,0,,1,0,20,6
Abstract Class,printing::PrintJobWorkerOwner,0,1,4,0,,1,0,6,0
Class,printing::PrintViewManager,100,1,8,0,,4,0,33,10
Abstract Class,printing::PrintViewManagerObserver,0,0,0,0,,0,0,2,0
Class,printing::PrintWebViewHelper,100,1,12,0,,2,3,48,18
Private Class,printing::PrintWebViewHelper::PrintPreviewContext,100,0,6,0,,0,0,29,13
Class,printing::PrinterQuery,99,1,6,0,,1,0,16,7
File,printing_message_filter.cc,,,,,0,,,,
File,printing_message_filter.h,,,,,1,,,,
File,printing_ui_web_contents_observer.cc,,,,,0,,,,
File,printing_ui_web_contents_observer.h,,,,,1,,,,
File,render_messages.cc,,,,,0,,,,
File,render_messages.h,,,,,0,,,,
File,resource.h,,,,,0,,,,
File,resource_request_job.cc,,,,,0,,,,
File,resource_request_job.h,,,,,1
File,screen.cc,,,,,1
File,screen.h,,,,,1
File,shell.cc,,,,,0
File,shell.h,,,,,1
File,shell_access_token_store.cc,,,,,0
File,shell_access_token_store.h,,,,,1
File,shell_application_mac.h,,,,,0
File,shell_browser_context.cc,,,,,1
File,shell_browser_context.h,,,,,1
File,shell_browser_main.cc,,,,,0
File,shell_browser_main.h,,,,,0
File,shell_browser_main_parts.cc,,,,,0
File,shell_browser_main_parts.h,,,,,1
File,shell_content_browser_client.cc,,,,,0
File,shell_content_browser_client.h,,,,,1
File,shell_content_client.cc,,,,,0
File,shell_content_client.h,,,,,1
File,shell_content_main.cc,,,,,0
File,shell_content_main.h,,,,,0
File,shell_content_renderer_client.cc,,,,,0
File,shell_content_renderer_client.h,,,,,1
File,shell_devtools_delegate.cc,,,,,1
File,shell_devtools_delegate.h,,,,,1
File,shell_devtools_frontend.cc,,,,,0
File,shell_devtools_frontend.h,,,,,1
File,shell_download_manager_delegate.cc,,,,,0
File,shell_download_manager_delegate.h,,,,,1
File,shell_download_manager_delegate_gtk.cc,,,,,0
File,shell_download_manager_delegate_win.cc,,,,,0
File,shell_javascript_dialog.h,,,,,1
File,shell_javascript_dialog_creator.cc,,,,,0
File,shell_javascript_dialog_creator.h,,,,,1
File,shell_javascript_dialog_gtk.cc,,,,,0
File,shell_javascript_dialog_win.cc,,,,,0
File,shell_login_dialog.cc,,,,,0
File,shell_login_dialog.h,,,,,1
File,shell_login_dialog_gtk.cc,,,,,0
File,shell_login_dialog_views.cc,,,,,0
File,shell_main.cc,,,,,0
File,shell_main_delegate.cc,,,,,0
File,shell_main_delegate.h,,,,,1
File,shell_network_delegate.cc,,,,,0
File,shell_network_delegate.h,,,,,1
File,shell_quota_permission_context.cc,,,,,0
File,shell_quota_permission_context.h,,,,,1
File,shell_render_process_observer.cc,,,,,0
File,shell_render_process_observer.h,,,,,1
File,shell_resource_context.cc,,,,,0
File,shell_resource_context.h,,,,,1
File,shell_resource_dispatcher_host_delegate.cc,,,,,0
File,shell_resource_dispatcher_host_delegate.h,,,,,1
File,shell_switches.cc,,,,,0
File,shell_switches.h,,,,,0
File,shell_toolbar_delegate_mac.h,,,,,0
File,shell_url_request_context_getter.cc,,,,,1
File,shell_url_request_context_getter.h,,,,,1
File,shortcut.cc,,,,,0
File,shortcut.h,,,,,1
File,shortcut_constants.cc,,,,,0
File,shortcut_constants.h,,,,,0
File,sqlite_persistent_cookie_store.cc,,,,,5
